GND-ID,Wikidata-Entity,mentioned in
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g28
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g34
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g37
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g38
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g41
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g43
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g44
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g47
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g48
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g49
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g51
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g52
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g53
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g56
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g57
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g58
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g61
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g71
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g72
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g74
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g75
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g76
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g77
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g80
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g88
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g90
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g91
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g92
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g93
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g2
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g3
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g4
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g5
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g6
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g7
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta047.pta-grc1:g8
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta048.pta-grc1:g1
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta048.pta-grc1:g2
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta048.pta-grc1:g3
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g202
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0041.pta001.pta-grc1:g1
4051468-7,Q182651,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta006.pta-grc1:g11
4051468-7,Q182651,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta018.pta-grc1:g3
4051468-7,Q182651,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta025.pta-grc1:g15
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta002.pta-grc1:g2
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta002.pta-grc1:g11
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta002.pta-grc1:g13
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta003.pta-grc1:g3
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta018.pta-grc1:g56
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta018.pta-grc1:g58
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta018.pta-grc1:g59
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta029.pta-grc1:g3
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta036.pta-grc1:g5
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g19
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g20
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g21
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta049.pta-grc1:g9
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g1
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g2
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g4
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g5
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g6
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g6
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g8
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g19
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g23
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g25
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g26
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g27
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g28
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g29
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g30
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g31
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g32
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g34
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g35
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g36
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g39
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g40
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g42
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g43
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g44
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g134
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g163
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g164
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g166
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g168
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g174
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g176
4084746-9,Q1061510,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta020.pta-grcBibex3:g182
