Place,mentioned in
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l21
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l23
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l24
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l25
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l26
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l27
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l31
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l33
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l35
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l38
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l39
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l43
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l45
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l47
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l49
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l51
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l55
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l57
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l58
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l61
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l73
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l74
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l9
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l10
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l13
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l15
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l17
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l18
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l20
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l21
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l22
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l51
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l52
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l54
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l55
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l4
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l5
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l6
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l7
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l28
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l29
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l30
https://pleiades.stoa.org/places/511337,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta003.pta-grc1:l7
https://pleiades.stoa.org/places/520998,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l71
https://pleiades.stoa.org/places/530871,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l10
https://pleiades.stoa.org/places/540775,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l29
https://pleiades.stoa.org/places/570220,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:l6
https://pleiades.stoa.org/places/579885,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta004.pta-grc1:l3
https://pleiades.stoa.org/places/589748,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l12
https://pleiades.stoa.org/places/589748,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l20
https://pleiades.stoa.org/places/599612,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta026.pta-grc1:l4
https://pleiades.stoa.org/places/599612,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:l7
https://pleiades.stoa.org/places/609307,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta004.pta-grc1:l2
https://pleiades.stoa.org/places/628949,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta012.pta-grc1:l2
https://pleiades.stoa.org/places/628949,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l27
https://pleiades.stoa.org/places/628949,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta017.pta-grc1:l5
https://pleiades.stoa.org/places/629035,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:l21
https://pleiades.stoa.org/places/629035,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta012.pta-grc1:l1
https://pleiades.stoa.org/places/638965,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l16
https://pleiades.stoa.org/places/638965,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l22
https://pleiades.stoa.org/places/639034,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l15
https://pleiades.stoa.org/places/639034,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l21
https://pleiades.stoa.org/places/648653,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l69
https://pleiades.stoa.org/places/648653,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l23
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:l22
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l72
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l8
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l11
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l12
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta017.pta-grc1:l1
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta017.pta-grc1:l6
