Edition,Reference,Reference in Index
LXX,Dn:3:73,https://pta.bbaw.de/biblical-reference/Dn:3:73
LXX,Dn:3:74,https://pta.bbaw.de/biblical-reference/Dn:3:74
LXX,Dn:3:75,https://pta.bbaw.de/biblical-reference/Dn:3:75
LXX,Dn:3:76,https://pta.bbaw.de/biblical-reference/Dn:3:76
LXX,Dn:3:77,https://pta.bbaw.de/biblical-reference/Dn:3:77
LXX,Dn:3:78-Dn:3:82,https://pta.bbaw.de/biblical-reference/Dn:3:78-Dn:3:82
LXX,Dn:3:79,https://pta.bbaw.de/biblical-reference/Dn:3:79
LXX,Dn:3:80,https://pta.bbaw.de/biblical-reference/Dn:3:80
LXX,Dn:3:82,https://pta.bbaw.de/biblical-reference/Dn:3:82
LXX,Dn:3:83,https://pta.bbaw.de/biblical-reference/Dn:3:83
LXX,Dn:3:85,https://pta.bbaw.de/biblical-reference/Dn:3:85
LXX,Dn:3:86,https://pta.bbaw.de/biblical-reference/Dn:3:86
LXX,Dn:3:87,https://pta.bbaw.de/biblical-reference/Dn:3:87
LXX,Dn:3:88,https://pta.bbaw.de/biblical-reference/Dn:3:88
LXX,Dn:3:88-Dn:3:89,https://pta.bbaw.de/biblical-reference/Dn:3:88-Dn:3:89
LXX,Dn:3:90,https://pta.bbaw.de/biblical-reference/Dn:3:90
LXX,Dn:3:91-Dn:3:92,https://pta.bbaw.de/biblical-reference/Dn:3:91-Dn:3:92
LXX,Dn:3:93,https://pta.bbaw.de/biblical-reference/Dn:3:93
LXX,Dn:3:95,https://pta.bbaw.de/biblical-reference/Dn:3:95
LXX,Dn:3:96,https://pta.bbaw.de/biblical-reference/Dn:3:96
LXX,Dn:3:97,https://pta.bbaw.de/biblical-reference/Dn:3:97
LXX,Dn:4:1,https://pta.bbaw.de/biblical-reference/Dn:4:1
LXX,Dn:4:10-Dn:4:11,https://pta.bbaw.de/biblical-reference/Dn:4:10-Dn:4:11
LXX,Dn:4:12,https://pta.bbaw.de/biblical-reference/Dn:4:12
LXX,Dn:4:13,https://pta.bbaw.de/biblical-reference/Dn:4:13
LXX,Dn:4:14,https://pta.bbaw.de/biblical-reference/Dn:4:14
LXX,Dn:4:15,https://pta.bbaw.de/biblical-reference/Dn:4:15
