Quotation-URL,Edition,Reference
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta017.pta-grc1:b69,LXX,2Sa:5:14
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta001.pta-grcBibex:b26,LXX,2Sa:7:1-2Sa:7:3
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta001.pta-grcBibex:b26,LXX,2Sa:7:27
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta004.pta-grc1:b61,LXX,3Esr:4:40
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:b13,LXX,3Esr:4:41
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:b24,LXX,3Esr:5:46-3Esr:5:48
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b93,LXX,Am:1:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b95,LXX,Am:2:6
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b94,LXX,Am:2:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta044.pta-grc1:b23,LXX,Am:3:8
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b116,LXX,Am:4:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta059.pta-grc1:b56,LXX,Am:4:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b97,LXX,Am:5:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta017.pta-grc1:b22,LXX,Am:5:18
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta042.pta-grc1:b138,LXX,Am:7:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta051.pta-grc1:b13,LXX,Am:7:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta021.pta-grc1:b47,LXX,Am:7:4
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta021.pta-grc1:b48,LXX,Am:7:5
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta040.pta-grc1:b40,LXX,Am:8:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta025.pta-grc1:b7,LXX,Am:8:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta052.pta-grc1:b46,LXX,Am:9:3
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta003.pta-grc1:b29,LXX,Bar:3:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta003.pta-grc1:b46,LXX,Bar:3:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta025.pta-grc1:b38,LXX,Bar:3:3
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta009.pta-grc1:b119,LXX,Bar:3:32-Bar:3:35
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta034.pta-grc1:b14,LXX,Bar:3:33
